distribution_type,distribution_downloadURL,distribution_mediaType,distribution_describedBy,distribution_describedByType,distribution_description,distribution_title,title,description,modified,accessLevel,identifier,landingPage
dcat:Distribution,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,text/html,nan,nan,Coronavirus COVID-19 Global Cases Dashboard from Johns Hopkins University,Coronavirus COVID-19 Global Cases Dashboard from Johns Hopkins University,Coronavirus COVID-19 Global Cases Dashboard from Johns Hopkins University,Global Map of Coronavirus cases,2020-11-16,public,https://data.colorado.gov/api/views/m9tc-zgz8,https://data.colorado.gov/d/m9tc-zgz8
dcat:Distribution,https://data.humdata.org/dataset/novel-coronavirus-2019-ncov-cases?force_layout=desktop,text/html,nan,nan,"
Novel Corona Virus (COVID-19) epidemiological data since 22 January 2020. The data is compiled by the Johns Hopkins University Center for Systems Science and Engineering (JHU CCSE) from various sources including the World Health Organization (WHO), DXY.cn. Pneumonia. 2020, BNO News, National Health Commission of the People’s Republic of China (NHC), China CDC (CCDC), Hong Kong Department of Health, Macau Government, Taiwan CDC, US CDC, Government of Canada, Australia Government Department of Health, European Centre for Disease Prevention and Control (ECDC), Ministry of Health Singapore (MOH). JSU CCSE maintains the data on the 2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository on github. Fields available in the data include Province/State, Country/Region, Last Update, Confirmed, Suspected, Recovered, Deaths.",Novel Coronavirus COVID-19 Cases Data from JHU CCSE,Novel Coronavirus (COVID-19) Cases Data from JHU CCSE,,2020-11-16,public,https://data.colorado.gov/api/views/pxgq-s7pg,https://data.colorado.gov/d/pxgq-s7pg
dcat:Distribution,https://github.com/CSSEGISandData/COVID-19,text/html,nan,nan,"This is the GitHub repository for the 2019 Novel Coronavirus Visual Dashboard operated by the Johns Hopkins University Center for Systems Science and Engineering (JHU CSSE). Also, Supported by ESRI Living Atlas Team and the Johns Hopkins University Applied Physics Lab (JHU APL).",2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,Repository listing source links and supporting code for dashboard,2020-11-16,public,https://data.colorado.gov/api/views/rkuy-jxyz,https://data.colorado.gov/d/rkuy-jxyz
dcat:Distribution,https://data.colorado.gov/api/views/tuvj-xz3m/rows.csv?accessType=DOWNLOAD,text/csv,nan,nan,nan,nan,Restaurant Inspections in Boulder County,"Restaruant Inspection data for food service facilities within Boulder County, CO provided by Boulder County. Boulder County restaurant inspections have been limited due to COVID-19.",2020-11-16,public,https://data.colorado.gov/api/views/tuvj-xz3m,https://data.colorado.gov/d/tuvj-xz3m
dcat:Distribution,https://data.colorado.gov/api/views/tuvj-xz3m/rows.rdf?accessType=DOWNLOAD,application/rdf+xml,https://data.colorado.gov/api/views/tuvj-xz3m/columns.rdf,application/rdf+xml,nan,nan,Restaurant Inspections in Boulder County,"Restaruant Inspection data for food service facilities within Boulder County, CO provided by Boulder County. Boulder County restaurant inspections have been limited due to COVID-19.",2020-11-16,public,https://data.colorado.gov/api/views/tuvj-xz3m,https://data.colorado.gov/d/tuvj-xz3m
dcat:Distribution,https://data.colorado.gov/api/views/tuvj-xz3m/rows.json?accessType=DOWNLOAD,application/json,https://data.colorado.gov/api/views/tuvj-xz3m/columns.json,application/json,nan,nan,Restaurant Inspections in Boulder County,"Restaruant Inspection data for food service facilities within Boulder County, CO provided by Boulder County. Boulder County restaurant inspections have been limited due to COVID-19.",2020-11-16,public,https://data.colorado.gov/api/views/tuvj-xz3m,https://data.colorado.gov/d/tuvj-xz3m
dcat:Distribution,https://data.colorado.gov/api/views/tuvj-xz3m/rows.xml?accessType=DOWNLOAD,application/xml,https://data.colorado.gov/api/views/tuvj-xz3m/columns.svc,application/xml,nan,nan,Restaurant Inspections in Boulder County,"Restaruant Inspection data for food service facilities within Boulder County, CO provided by Boulder County. Boulder County restaurant inspections have been limited due to COVID-19.",2020-11-16,public,https://data.colorado.gov/api/views/tuvj-xz3m,https://data.colorado.gov/d/tuvj-xz3m
dcat:Distribution,https://data.colorado.gov/api/views/xwar-3geb/rows.csv?accessType=DOWNLOAD,text/csv,nan,nan,nan,nan,Breckenridge COVID-19 Business Modifications,"Modifications to businesses in Breckenridge, Colorado that were made due to COVID-19.",2020-11-16,public,https://data.colorado.gov/api/views/xwar-3geb,https://data.colorado.gov/d/xwar-3geb
dcat:Distribution,https://data.colorado.gov/api/views/xwar-3geb/rows.rdf?accessType=DOWNLOAD,application/rdf+xml,https://data.colorado.gov/api/views/xwar-3geb/columns.rdf,application/rdf+xml,nan,nan,Breckenridge COVID-19 Business Modifications,"Modifications to businesses in Breckenridge, Colorado that were made due to COVID-19.",2020-11-16,public,https://data.colorado.gov/api/views/xwar-3geb,https://data.colorado.gov/d/xwar-3geb
dcat:Distribution,https://data.colorado.gov/api/views/xwar-3geb/rows.json?accessType=DOWNLOAD,application/json,https://data.colorado.gov/api/views/xwar-3geb/columns.json,application/json,nan,nan,Breckenridge COVID-19 Business Modifications,"Modifications to businesses in Breckenridge, Colorado that were made due to COVID-19.",2020-11-16,public,https://data.colorado.gov/api/views/xwar-3geb,https://data.colorado.gov/d/xwar-3geb
dcat:Distribution,https://data.colorado.gov/api/views/xwar-3geb/rows.xml?accessType=DOWNLOAD,application/xml,https://data.colorado.gov/api/views/xwar-3geb/columns.svc,application/xml,nan,nan,Breckenridge COVID-19 Business Modifications,"Modifications to businesses in Breckenridge, Colorado that were made due to COVID-19.",2020-11-16,public,https://data.colorado.gov/api/views/xwar-3geb,https://data.colorado.gov/d/xwar-3geb
